epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,17453.5,1.91965,2.17554,1.49281,0.55686,0.02441,0.0135,0.00386,3.90201,3.03985,1.28699,0.00486343,0.00486343,0.00486343
130,17576.4,1.94469,2.17528,1.4903,0.55908,0.02521,0.01387,0.00393,3.90696,3.03755,1.2851,0.00480129,0.00480129,0.00480129
131,17702.2,1.92785,2.17992,1.49046,0.30865,0.02518,0.01402,0.00399,3.90343,3.03888,1.28345,0.00473919,0.00473919,0.00473919
132,17827.9,1.92607,2.16556,1.48917,0.30839,0.02593,0.01411,0.00385,3.91441,3.03982,1.27701,0.00467713,0.00467713,0.00467713
133,17953.3,1.92087,2.16338,1.49717,0.30851,0.02559,0.01398,0.00388,3.92505,3.03659,1.27239,0.00461514,0.00461514,0.00461514
134,18077.4,1.91595,2.15926,1.49083,0.30649,0.02649,0.01396,0.00377,3.93503,3.0354,1.26731,0.00455321,0.00455321,0.00455321
135,18200.4,1.91977,2.16473,1.48887,0.05671,0.02631,0.01395,0.0037,3.9425,3.04204,1.26685,0.00449136,0.00449136,0.00449136
136,18324.4,1.91648,2.15719,1.49315,0.30719,0.0259,0.01423,0.0038,3.92732,3.04814,1.27229,0.0044296,0.0044296,0.0044296
137,18443.3,1.90626,2.14397,1.48754,0.30747,0.02494,0.0141,0.00386,3.92381,3.04832,1.27473,0.00436794,0.00436794,0.00436794
138,18569,1.9212,2.1469,1.48908,0.55752,0.02513,0.01402,0.00393,3.92204,3.04756,1.27482,0.00430638,0.00430638,0.00430638
139,18690.9,1.91691,2.14559,1.48233,0.55599,0.02463,0.01371,0.00394,3.91854,3.05482,1.27463,0.00424495,0.00424495,0.00424495
140,18809.4,1.92252,2.14704,1.48491,0.55396,0.02446,0.01358,0.00389,3.91732,3.05375,1.27343,0.00418364,0.00418364,0.00418364
141,18927.9,1.90905,2.11942,1.48733,0.55541,0.02477,0.01369,0.0039,3.91243,3.05576,1.2734,0.00412246,0.00412246,0.00412246
142,19045.9,1.89111,2.11778,1.47597,0.55555,0.02475,0.01354,0.00397,3.91305,3.05577,1.27674,0.00406144,0.00406144,0.00406144
143,19167,1.90382,2.11607,1.47261,0.55139,0.0252,0.01316,0.0039,3.9103,3.05632,1.27881,0.00400056,0.00400056,0.00400056
144,19288.3,1.92154,2.12267,1.48266,0.55234,0.02394,0.0128,0.0039,3.90762,3.06082,1.28184,0.00393986,0.00393986,0.00393986
145,19409.8,1.90307,2.11167,1.48817,0.54974,0.02464,0.01281,0.00388,3.90673,3.06102,1.28448,0.00387933,0.00387933,0.00387933
146,19531.7,1.90507,2.11208,1.48373,0.55116,0.02409,0.01303,0.00388,3.9064,3.06479,1.28761,0.00381899,0.00381899,0.00381899
147,19655.7,1.89627,2.11356,1.48401,0.55131,0.02408,0.01328,0.00395,3.90879,3.06333,1.2885,0.00375883,0.00375883,0.00375883
148,19784,1.8954,2.09765,1.47844,0.5524,0.02366,0.01331,0.00395,3.91051,3.06113,1.28761,0.00369889,0.00369889,0.00369889
149,19906.8,1.90128,2.0985,1.47929,0.55258,0.0242,0.01348,0.00402,3.90718,3.06149,1.28803,0.00363915,0.00363915,0.00363915
150,20120.9,1.89449,2.08616,1.4756,0.55242,0.02443,0.01347,0.00395,3.90792,3.05832,1.2877,0.00357964,0.00357964,0.00357964
151,20245,1.89569,2.0932,1.47027,0.55407,0.02349,0.01343,0.004,3.90567,3.05848,1.28681,0.00352037,0.00352037,0.00352037
